gene alignLength GC BlatGC FlavGC	treeLength	QSDnegative	QSDpositive
200rho 1524 0.29303 0.298395 0.353783	2271	0 187
203rpmB 225 0.26894 0.232644 0.329114	265	0 17
204rpmG 180 0.22364 0.237022 0.296175	188	0 17
207htpG 1812 0.26872 0.244809 0.334181	2813	0 169
208exoX 765 0.29267 0.276613 0.338441	1235	0 50
214tatD 759 0.31933 0.251747 0.353699	1541	0 52
215fabD 855 0.30429 0.283419 0.384915	1280	0 97
219bindingHU 282 0.27418 0.279983 0.315115	402	0 15
220mutY 1011 0.26026 0.247033 0.326767	2091	0 67
224mutL 1698 0.2797 0.229607 0.349166	3115	0 115
226signalpep1 1422 0.27619 0.228972 0.345018	2839	0 93
227dapB 696 0.29656 0.262797 0.347566	1169	0 66
229dnaJ 1095 0.31811 0.306318 0.376703	1478	0 124
230grpE 537 0.26443 0.245179 0.315527	974	0 38
231trpS 963 0.2951 0.260913 0.362016	1609	0 85
232atpG 840 0.26738 0.219035 0.35149	1504	1 52
233atpA 1575 0.30205 0.307972 0.374794	1954	0 173
234atpH 525 0.24897 0.205795 0.305931	1106	0 23
235atpF 483 0.27979 0.238059 0.326547	820	0 27
237atpB 969 0.26633 0.247563 0.33619	1759	0 79
238cysS 1413 0.2989 0.259495 0.344804	2510	0 128
239folE 639 0.27852 0.270429 0.329464	1000	0 76
240nadE 771 0.28652 0.268514 0.357675	1491	0 68
245hemD 627 0.2694 0.252902 0.306476	1438	0 29
252carB 2784 0.29678 0.296615 0.359955	3966	0 296
253carA 1050 0.29906 0.30669 0.335132	1680	0 94
254argD 1089 0.32527 0.288577 0.391713	1890	0 99
257polC 4212 0.30282 0.268346 0.367072	7339	0 415
258rpsA 1725 0.29875 0.290167 0.340661	2210	0 182
264asd 987 0.29567 0.278658 0.371717	1564	0 112
265gmk 564 0.27726 0.241222 0.352064	959	0 59
266rpiB 426 0.29668 0.284656 0.372276	719	0 48
267pgk 1179 0.28793 0.269149 0.358754	2062	0 126
268sodA 603 0.30582 0.271403 0.382643	960	0 46
269folB 348 0.26315 0.250703 0.307135	619	0 21
270glmS 1842 0.28095 0.291709 0.357243	2683	0 230
272rnr 1842 0.27132 0.243004 0.331956	2949	0 142
273coaD 450 0.28029 0.232859 0.346859	729	0 51
276serA 876 0.28323 0.248501 0.354311	1651	0 50
289menA 882 0.24711 0.22236 0.321083	1833	0 57
290menB 813 0.31628 0.297911 0.387697	1139	0 90
293eno 1275 0.30609 0.283711 0.370043	1841	0 144
294rplQ 432 0.27255 0.259762 0.368594	625	0 42
295rpoA 990 0.25756 0.258511 0.318228	1312	0 100
296rpsD 603 0.28554 0.282424 0.346535	745	0 54
297rpsK 381 0.33296 0.338552 0.382292	445	0 55
298rpsM 372 0.28218 0.28243 0.347733	457	0 39
300infA 213 0.265 0.297454 0.340741	192	0 27
301rplO 447 0.26925 0.272654 0.356291	688	0 30
302rpsE 504 0.31209 0.324805 0.366133	614	0 55
304rplF 540 0.27227 0.253772 0.345829	846	0 37
305rpsH 378 0.25532 0.24677 0.326316	484	0 31
306rpsN 267 0.34199 0.31713 0.377778	317	0 23
307rplE 549 0.26766 0.2556 0.32971	712	0 55
308rplX 213 0.26747 0.242424 0.33014	294	0 17
310rpsQ 252 0.27867 0.242663 0.307099	329	0 12
312rplP 417 0.32763 0.314848 0.38371	464	0 46
313rpsC 702 0.31998 0.301984 0.37943	807	0 66
314rplV 342 0.28802 0.263463 0.361475	551	0 21
315rpsS 276 0.26661 0.279386 0.356989	305	0 28
316rplB 822 0.32138 0.31266 0.394909	989	0 88
317rplW 279 0.23757 0.195492 0.314738	442	0 18
318rplD 627 0.26914 0.228956 0.325714	947	0 38
319rplC 615 0.30647 0.287179 0.4	895	0 65
320rpsJ 303 0.24275 0.303513 0.318301	311	0 43
321fusA 2094 0.30678 0.303918 0.378125	2632	0 266
322rpsG 474 0.30084 0.285485 0.362683	533	0 45
323rpsL 375 0.33562 0.345449 0.411643	389	0 55
324map 807 0.31603 0.292502 0.383809	1263	0 102
325pgm 1506 0.30126 0.273674 0.374951	2694	0 157
326tsf 807 0.285 0.244424 0.36385	1507	0 43
327rpsB 717 0.28833 0.27232 0.358333	955	0 78
328rpsI 372 0.30229 0.271785 0.378811	584	0 30
329rplM 438 0.28863 0.262626 0.369697	706	0 35
330dnaK 1878 0.30828 0.309617 0.370359	2218	0 232
331psd 645 0.24946 0.245355 0.320232	1249	0 53
332cdsA 765 0.2364 0.236358 0.279562	1613	0 41
333ftsH 1893 0.2649 0.292308 0.346671	2873	0 236
336pyrG 1608 0.25695 0.28092 0.349318	2269	0 212
338adk 570 0.25867 0.234931 0.333333	996	0 47
339lpd 1383 0.3008 0.277018 0.379399	2670	0 114
343dapA 870 0.27917 0.264997 0.349001	1544	0 93
346miaB 1305 0.30813 0.246937 0.359003	2792	0 81
347ntrC 528 0.35153 0.269822 0.368406	1229	0 22
349groES 273 0.34963 0.338133 0.37971	326	0 38
350groL 1626 0.32459 0.354338 0.388419	1875	0 263
355yajC 267 0.25239 0.220952 0.295723	474	0 18
356coaE 573 0.24658 0.215875 0.306463	1221	0 28
359entC 993 0.25499 0.221513 0.305603	2397	0 42
361idi 513 0.27205 0.238357 0.345876	825	0 49
362sscR 408 0.28129 0.241818 0.333333	613	0 31
366aroC 1062 0.32147 0.305747 0.375235	1634	0 135
368folC 1176 0.28312 0.237818 0.348718	2172	0 112
369glnS 1524 0.27755 0.247449 0.330234	2366	0 120
370rpoC 4221 0.2866 0.308152 0.359437	5144	0 572
371rpoB 3804 0.29224 0.303084 0.363179	4506	0 516
378tuf 1185 0.33793 0.344273 0.397507	1253	0 152
380ileS 3381 0.28714 0.255154 0.368433	5551	0 311
387accA 951 0.30859 0.302525 0.365409	1339	0 114
388sdhB 738 0.31586 0.301139 0.379101	1003	0 91
430rpoD 861 0.31034 0.315881 0.377083	934	0 113
